Nummer,Name,EW,category,value
01011101,Stülerstraße,3114,S1,5.78
01011101,Stülerstraße,3114,S2,1.39
01011101,Stülerstraße,3114,S3,8.22
01011101,Stülerstraße,3114,S4,21.27
01011101,Stülerstraße,3114,D1,-0.61
01011101,Stülerstraße,3114,D2,-0.84
01011101,Stülerstraße,3114,D3,0.78
01011101,Stülerstraße,3114,D4,2.25
01011103,Lützowstraße,5130,S1,7.82
01011103,Lützowstraße,5130,S2,2.11
01011103,Lützowstraße,5130,S3,18.32
01011103,Lützowstraße,5130,S4,41.55
01011103,Lützowstraße,5130,D1,-1.49
01011103,Lützowstraße,5130,D2,-1
01011103,Lützowstraße,5130,D3,-0.19
01011103,Lützowstraße,5130,D4,2.51
01011104,Körnerstraße,4403,S1,7.54
01011104,Körnerstraße,4403,S2,2.24
01011104,Körnerstraße,4403,S3,22.05
01011104,Körnerstraße,4403,S4,49.69
01011104,Körnerstraße,4403,D1,-2.23
01011104,Körnerstraße,4403,D2,-1.38
01011104,Körnerstraße,4403,D3,-2.56
01011104,Körnerstraße,4403,D4,-9.3
01011105,Nördlicher Landwehrkanal,1097,S1,2.71
01011105,Nördlicher Landwehrkanal,1097,S2,0.74
01011105,Nördlicher Landwehrkanal,1097,S3,2.01
01011105,Nördlicher Landwehrkanal,1097,S4,4.26
01011105,Nördlicher Landwehrkanal,1097,D1,0.38
01011105,Nördlicher Landwehrkanal,1097,D2,0.22
01011105,Nördlicher Landwehrkanal,1097,D3,-2.01
01011105,Nördlicher Landwehrkanal,1097,D4,-3.61
01011201,Wilhelmstraße,2055,S1,5.07
01011201,Wilhelmstraße,2055,S2,1.49
01011201,Wilhelmstraße,2055,S3,8.27
01011201,Wilhelmstraße,2055,S4,28.1
01011201,Wilhelmstraße,2055,D1,-1.35
01011201,Wilhelmstraße,2055,D2,-0.41
01011201,Wilhelmstraße,2055,D3,-0.53
01011201,Wilhelmstraße,2055,D4,-1.72
01011202,Unter den Linden Nord,498,S1,2.63
01011202,Unter den Linden Nord,498,S2,0
01011202,Unter den Linden Nord,498,S3,1.2
01011202,Unter den Linden Nord,498,S4,0
01011202,Unter den Linden Nord,498,D1,-1.31
01011202,Unter den Linden Nord,498,D2,-0.85
01011202,Unter den Linden Nord,498,D3,0.78
01011202,Unter den Linden Nord,498,D4,0
01011203,Unter den Linden Süd,932,S1,3.13
01011203,Unter den Linden Süd,932,S2,1.19
01011203,Unter den Linden Süd,932,S3,3.33
01011203,Unter den Linden Süd,932,S4,8.51
01011203,Unter den Linden Süd,932,D1,-0.6
01011203,Unter den Linden Süd,932,D2,0.26
01011203,Unter den Linden Süd,932,D3,0.16
01011203,Unter den Linden Süd,932,D4,0.93
01011204,Leipziger Straße,6424,S1,5.29
01011204,Leipziger Straße,6424,S2,1.33
01011204,Leipziger Straße,6424,S3,6.76
01011204,Leipziger Straße,6424,S4,25.14
01011204,Leipziger Straße,6424,D1,0.61
01011204,Leipziger Straße,6424,D2,0.2
01011204,Leipziger Straße,6424,D3,-0.6
01011204,Leipziger Straße,6424,D4,1.5
01011301,Charitéviertel,5597,S1,3.09
01011301,Charitéviertel,5597,S2,0.72
01011301,Charitéviertel,5597,S3,3.31
01011301,Charitéviertel,5597,S4,4.75
01011301,Charitéviertel,5597,D1,0.11
01011301,Charitéviertel,5597,D2,0.01
01011301,Charitéviertel,5597,D3,-0.49
01011301,Charitéviertel,5597,D4,-2.54
01011302,Oranienburger Straße,12137,S1,4.8
01011302,Oranienburger Straße,12137,S2,1.05
01011302,Oranienburger Straße,12137,S3,6.42
01011302,Oranienburger Straße,12137,S4,12.07
01011302,Oranienburger Straße,12137,D1,-0.53
01011302,Oranienburger Straße,12137,D2,-0.1
01011302,Oranienburger Straße,12137,D3,-0.49
01011302,Oranienburger Straße,12137,D4,-1.66
01011303,Alexanderplatzviertel,8608,S1,6.36
01011303,Alexanderplatzviertel,8608,S2,1.75
01011303,Alexanderplatzviertel,8608,S3,9.1
01011303,Alexanderplatzviertel,8608,S4,22.13
01011303,Alexanderplatzviertel,8608,D1,-0.64
01011303,Alexanderplatzviertel,8608,D2,-0.26
01011303,Alexanderplatzviertel,8608,D3,-0.26
01011303,Alexanderplatzviertel,8608,D4,-1.61
01011304,Karl-Marx-Allee,8424,S1,7.61
01011304,Karl-Marx-Allee,8424,S2,2.57
01011304,Karl-Marx-Allee,8424,S3,12.84
01011304,Karl-Marx-Allee,8424,S4,39.9
01011304,Karl-Marx-Allee,8424,D1,0.05
01011304,Karl-Marx-Allee,8424,D2,0.05
01011304,Karl-Marx-Allee,8424,D3,0.45
01011304,Karl-Marx-Allee,8424,D4,-0.05
01011305,Heine-Viertel West,7075,S1,4.85
01011305,Heine-Viertel West,7075,S2,1.27
01011305,Heine-Viertel West,7075,S3,7.56
01011305,Heine-Viertel West,7075,S4,25.32
01011305,Heine-Viertel West,7075,D1,-1.44
01011305,Heine-Viertel West,7075,D2,-0.56
01011305,Heine-Viertel West,7075,D3,-0.37
01011305,Heine-Viertel West,7075,D4,-5.99
01011306,Heine-Viertel Ost,8616,S1,6.53
01011306,Heine-Viertel Ost,8616,S2,1.61
01011306,Heine-Viertel Ost,8616,S3,8.72
01011306,Heine-Viertel Ost,8616,S4,27.61
01011306,Heine-Viertel Ost,8616,D1,-0.61
01011306,Heine-Viertel Ost,8616,D2,-0.75
01011306,Heine-Viertel Ost,8616,D3,0.38
01011306,Heine-Viertel Ost,8616,D4,2.47
01011401,Invalidenstraße,15235,S1,4.35
01011401,Invalidenstraße,15235,S2,0.91
01011401,Invalidenstraße,15235,S3,5.19
01011401,Invalidenstraße,15235,S4,8.44
01011401,Invalidenstraße,15235,D1,-0.63
01011401,Invalidenstraße,15235,D2,-0.26
01011401,Invalidenstraße,15235,D3,-0.25
01011401,Invalidenstraße,15235,D4,-0.52
01011402,Arkonaplatz,12666,S1,4.46
01011402,Arkonaplatz,12666,S2,0.82
01011402,Arkonaplatz,12666,S3,3.93
01011402,Arkonaplatz,12666,S4,5.09
01011402,Arkonaplatz,12666,D1,-0.17
01011402,Arkonaplatz,12666,D2,-0.27
01011402,Arkonaplatz,12666,D3,-0.48
01011402,Arkonaplatz,12666,D4,-1.16
01022101,Huttenkiez,3390,S1,11.28
01022101,Huttenkiez,3390,S2,3.97
01022101,Huttenkiez,3390,S3,23.33
01022101,Huttenkiez,3390,S4,64.31
01022101,Huttenkiez,3390,D1,-1.35
01022101,Huttenkiez,3390,D2,0.03
01022101,Huttenkiez,3390,D3,0.23
01022101,Huttenkiez,3390,D4,-6.75
01022102,Beusselkiez,6255,S1,11.68
01022102,Beusselkiez,6255,S2,3.7
01022102,Beusselkiez,6255,S3,24.88
01022102,Beusselkiez,6255,S4,59.95
01022102,Beusselkiez,6255,D1,-1.88
01022102,Beusselkiez,6255,D2,-0.85
01022102,Beusselkiez,6255,D3,-1.44
01022102,Beusselkiez,6255,D4,-0.05
01022104,Emdener Straße,17806,S1,9.97
01022104,Emdener Straße,17806,S2,3.25
01022104,Emdener Straße,17806,S3,19.01
01022104,Emdener Straße,17806,S4,48.67
01022104,Emdener Straße,17806,D1,-0.12
01022104,Emdener Straße,17806,D2,-0.29
01022104,Emdener Straße,17806,D3,-0.7
01022104,Emdener Straße,17806,D4,0.04
01022105,Zwinglistraße,5105,S1,9.97
01022105,Zwinglistraße,5105,S2,2.77
01022105,Zwinglistraße,5105,S3,24.86
01022105,Zwinglistraße,5105,S4,65.72
01022105,Zwinglistraße,5105,D1,-1.51
01022105,Zwinglistraße,5105,D2,-0.72
01022105,Zwinglistraße,5105,D3,-0.72
01022105,Zwinglistraße,5105,D4,0.53
01022106,Elberfelder Straße,11731,S1,6.65
01022106,Elberfelder Straße,11731,S2,1.68
01022106,Elberfelder Straße,11731,S3,10.99
01022106,Elberfelder Straße,11731,S4,19.99
01022106,Elberfelder Straße,11731,D1,-0.48
01022106,Elberfelder Straße,11731,D2,-0.55
01022106,Elberfelder Straße,11731,D3,-0.85
01022106,Elberfelder Straße,11731,D4,-3.4
01022201,Stephankiez,10469,S1,8.57
01022201,Stephankiez,10469,S2,2.21
01022201,Stephankiez,10469,S3,17.68
01022201,Stephankiez,10469,S4,42.53
01022201,Stephankiez,10469,D1,-1.72
01022201,Stephankiez,10469,D2,-0.89
01022201,Stephankiez,10469,D3,-2.08
01022201,Stephankiez,10469,D4,-8.66
01022202,Heidestraße,1448,S1,13.41
01022202,Heidestraße,1448,S2,3.3
01022202,Heidestraße,1448,S3,28.45
01022202,Heidestraße,1448,S4,50.94
01022202,Heidestraße,1448,D1,0.65
01022202,Heidestraße,1448,D2,-1.21
01022202,Heidestraße,1448,D3,-6.2
01022202,Heidestraße,1448,D4,-15.16
01022203,Lübecker Straße,6773,S1,10.73
01022203,Lübecker Straße,6773,S2,3.02
01022203,Lübecker Straße,6773,S3,25.51
01022203,Lübecker Straße,6773,S4,55.17
01022203,Lübecker Straße,6773,D1,-1.88
01022203,Lübecker Straße,6773,D2,-1.44
01022203,Lübecker Straße,6773,D3,-0.66
01022203,Lübecker Straße,6773,D4,1.58
01022204,Thomasiusstraße,5826,S1,6.77
01022204,Thomasiusstraße,5826,S2,1.77
01022204,Thomasiusstraße,5826,S3,11.28
01022204,Thomasiusstraße,5826,S4,21.35
01022204,Thomasiusstraße,5826,D1,-1.18
01022204,Thomasiusstraße,5826,D2,-0.91
01022204,Thomasiusstraße,5826,D3,-0.6
01022204,Thomasiusstraße,5826,D4,-2.43
01022205,Zillesiedlung,3207,S1,9.58
01022205,Zillesiedlung,3207,S2,2.41
01022205,Zillesiedlung,3207,S3,25.13
01022205,Zillesiedlung,3207,S4,45.12
01022205,Zillesiedlung,3207,D1,-1.12
01022205,Zillesiedlung,3207,D2,-1.19
01022205,Zillesiedlung,3207,D3,-2.68
01022205,Zillesiedlung,3207,D4,-8.74
01022206,Lüneburger Straße,3060,S1,6.62
01022206,Lüneburger Straße,3060,S2,1.46
01022206,Lüneburger Straße,3060,S3,13.17
01022206,Lüneburger Straße,3060,S4,25.9
01022206,Lüneburger Straße,3060,D1,-1.72
01022206,Lüneburger Straße,3060,D2,-1.2
01022206,Lüneburger Straße,3060,D3,0.67
01022206,Lüneburger Straße,3060,D4,-3.9
01022207,Hansaviertel,5477,S1,5.72
01022207,Hansaviertel,5477,S2,1.53
01022207,Hansaviertel,5477,S3,9.51
01022207,Hansaviertel,5477,S4,25.56
01022207,Hansaviertel,5477,D1,-0.79
01022207,Hansaviertel,5477,D2,-0.38
01022207,Hansaviertel,5477,D3,-0.12
01022207,Hansaviertel,5477,D4,-0.92
01033101,Soldiner Straße,25947,S1,13.25
01033101,Soldiner Straße,25947,S2,4.18
01033101,Soldiner Straße,25947,S3,31.79
01033101,Soldiner Straße,25947,S4,68.88
01033101,Soldiner Straße,25947,D1,-2.19
01033101,Soldiner Straße,25947,D2,-1.18
01033101,Soldiner Straße,25947,D3,0.46
01033101,Soldiner Straße,25947,D4,0.28
01033102,Gesundbrunnen,11586,S1,11.23
01033102,Gesundbrunnen,11586,S2,2.91
01033102,Gesundbrunnen,11586,S3,28.53
01033102,Gesundbrunnen,11586,S4,64.12
01033102,Gesundbrunnen,11586,D1,-2.07
01033102,Gesundbrunnen,11586,D2,-1.45
01033102,Gesundbrunnen,11586,D3,0.28
01033102,Gesundbrunnen,11586,D4,-1.46
01033201,Brunnenstraße,12885,S1,12.13
01033201,Brunnenstraße,12885,S2,3.6
01033201,Brunnenstraße,12885,S3,32.84
01033201,Brunnenstraße,12885,S4,63
01033201,Brunnenstraße,12885,D1,-1.57
01033201,Brunnenstraße,12885,D2,-0.82
01033201,Brunnenstraße,12885,D3,-0.4
01033201,Brunnenstraße,12885,D4,-2.51
01033202,Humboldthain Süd,9697,S1,10.85
01033202,Humboldthain Süd,9697,S2,2.96
01033202,Humboldthain Süd,9697,S3,23.64
01033202,Humboldthain Süd,9697,S4,54.92
01033202,Humboldthain Süd,9697,D1,-1.3
01033202,Humboldthain Süd,9697,D2,-1.05
01033202,Humboldthain Süd,9697,D3,-0.67
01033202,Humboldthain Süd,9697,D4,-2.84
01033203,Humboldthain Nordwest,13891,S1,12.69
01033203,Humboldthain Nordwest,13891,S2,3.59
01033203,Humboldthain Nordwest,13891,S3,31.8
01033203,Humboldthain Nordwest,13891,S4,69.17
01033203,Humboldthain Nordwest,13891,D1,-2.18
01033203,Humboldthain Nordwest,13891,D2,-1.36
01033203,Humboldthain Nordwest,13891,D3,-0.62
01033203,Humboldthain Nordwest,13891,D4,-1.29
01044101,Rehberge,19903,S1,10.83
01044101,Rehberge,19903,S2,3.62
01044101,Rehberge,19903,S3,20.84
01044101,Rehberge,19903,S4,53.79
01044101,Rehberge,19903,D1,-1.07
01044101,Rehberge,19903,D2,-0.26
01044101,Rehberge,19903,D3,-0.41
01044101,Rehberge,19903,D4,-0.95
01044102,Schillerpark,15792,S1,10.41
01044102,Schillerpark,15792,S2,3.13
01044102,Schillerpark,15792,S3,18.43
01044102,Schillerpark,15792,S4,52.51
01044102,Schillerpark,15792,D1,-1.8
01044102,Schillerpark,15792,D2,-0.93
01044102,Schillerpark,15792,D3,0.98
01044102,Schillerpark,15792,D4,0.99
01044103,Westliche Müllerstraße,8076,S1,10.29
01044103,Westliche Müllerstraße,8076,S2,3.16
01044103,Westliche Müllerstraße,8076,S3,19.03
01044103,Westliche Müllerstraße,8076,S4,52.02
01044103,Westliche Müllerstraße,8076,D1,-1.63
01044103,Westliche Müllerstraße,8076,D2,-0.67
01044103,Westliche Müllerstraße,8076,D3,-1.18
01044103,Westliche Müllerstraße,8076,D4,-1.72
01044201,Reinickendorfer Straße,23103,S1,13.66
01044201,Reinickendorfer Straße,23103,S2,3.94
01044201,Reinickendorfer Straße,23103,S3,32.45
01044201,Reinickendorfer Straße,23103,S4,72.09
01044201,Reinickendorfer Straße,23103,D1,-1.42
01044201,Reinickendorfer Straße,23103,D2,-1.1
01044201,Reinickendorfer Straße,23103,D3,0.34
01044201,Reinickendorfer Straße,23103,D4,0.64
01044202,Sparrplatz,16636,S1,10.22
01044202,Sparrplatz,16636,S2,3.37
01044202,Sparrplatz,16636,S3,20.64
01044202,Sparrplatz,16636,S4,57.92
01044202,Sparrplatz,16636,D1,-0.73
01044202,Sparrplatz,16636,D2,-0.14
01044202,Sparrplatz,16636,D3,-1.62
01044202,Sparrplatz,16636,D4,-2.56
01044203,Leopoldplatz,15985,S1,12.36
01044203,Leopoldplatz,15985,S2,3.59
01044203,Leopoldplatz,15985,S3,27.87
01044203,Leopoldplatz,15985,S4,66.23
01044203,Leopoldplatz,15985,D1,-1.53
01044203,Leopoldplatz,15985,D2,-1.18
