Jahr,type,Summe in Milliarden Euro
2007-12-31T23:00:00Z,Export,11.575460000
2007-12-31T23:00:00Z,Import,8.836354000
2008-12-31T23:00:00Z,Export,10.460872000
2008-12-31T23:00:00Z,Import,8.332920000
2009-12-31T23:00:00Z,Export,12.041296000
2009-12-31T23:00:00Z,Import,9.504931000
2010-12-31T23:00:00Z,Export,12.995735000
2010-12-31T23:00:00Z,Import,10.247531000
2011-12-31T23:00:00Z,Export,13.630766000
2011-12-31T23:00:00Z,Import,9.885480000
2012-12-31T23:00:00Z,Export,12.926404000
2012-12-31T23:00:00Z,Import,9.729719000
2013-12-31T23:00:00Z,Export,13.307452000
2013-12-31T23:00:00Z,Import,9.910714000
2014-12-31T23:00:00Z,Export,14.077861000
2014-12-31T23:00:00Z,Import,11.728684000
2015-12-31T23:00:00Z,Export,15.147156000
2015-12-31T23:00:00Z,Import,12.113675000
