Nummer,name,EW,S1,S2,S3,S4,D1,D2,D3,D4
01011101,Stülerstraße,3114,5.78,1.39,8.22,21.27,-0.61,-0.84,0.78,2.25
01011103,Lützowstraße,5130,7.82,2.11,18.32,41.55,-1.49,-1,-0.19,2.51
01011104,Körnerstraße,4403,7.54,2.24,22.05,49.69,-2.23,-1.38,-2.56,-9.3
01011105,Nördlicher Landwehrkanal,1097,2.71,0.74,2.01,4.26,0.38,0.22,-2.01,-3.61
01011201,Wilhelmstraße,2055,5.07,1.49,8.27,28.1,-1.35,-0.41,-0.53,-1.72
01011202,Unter den Linden Nord,498,2.63,0,1.2,0,-1.31,-0.85,0.78,0
01011203,Unter den Linden Süd,932,3.13,1.19,3.33,8.51,-0.6,0.26,0.16,0.93
01011204,Leipziger Straße,6424,5.29,1.33,6.76,25.14,0.61,0.2,-0.6,1.5
01011301,Charitéviertel,5597,3.09,0.72,3.31,4.75,0.11,0.01,-0.49,-2.54
01011302,Oranienburger Straße,12137,4.8,1.05,6.42,12.07,-0.53,-0.1,-0.49,-1.66
01011303,Alexanderplatzviertel,8608,6.36,1.75,9.1,22.13,-0.64,-0.26,-0.26,-1.61
01011304,Karl-Marx-Allee,8424,7.61,2.57,12.84,39.9,0.05,0.05,0.45,-0.05
01011305,Heine-Viertel West,7075,4.85,1.27,7.56,25.32,-1.44,-0.56,-0.37,-5.99
01011306,Heine-Viertel Ost,8616,6.53,1.61,8.72,27.61,-0.61,-0.75,0.38,2.47
01011401,Invalidenstraße,15235,4.35,0.91,5.19,8.44,-0.63,-0.26,-0.25,-0.52
01011402,Arkonaplatz,12666,4.46,0.82,3.93,5.09,-0.17,-0.27,-0.48,-1.16
01022101,Huttenkiez,3390,11.28,3.97,23.33,64.31,-1.35,0.03,0.23,-6.75
01022102,Beusselkiez,6255,11.68,3.7,24.88,59.95,-1.88,-0.85,-1.44,-0.05
01022104,Emdener Straße,17806,9.97,3.25,19.01,48.67,-0.12,-0.29,-0.7,0.04
01022105,Zwinglistraße,5105,9.97,2.77,24.86,65.72,-1.51,-0.72,-0.72,0.53
01022106,Elberfelder Straße,11731,6.65,1.68,10.99,19.99,-0.48,-0.55,-0.85,-3.4
01022201,Stephankiez,10469,8.57,2.21,17.68,42.53,-1.72,-0.89,-2.08,-8.66
01022202,Heidestraße,1448,13.41,3.3,28.45,50.94,0.65,-1.21,-6.2,-15.16
01022203,Lübecker Straße,6773,10.73,3.02,25.51,55.17,-1.88,-1.44,-0.66,1.58
01022204,Thomasiusstraße,5826,6.77,1.77,11.28,21.35,-1.18,-0.91,-0.6,-2.43
01022205,Zillesiedlung,3207,9.58,2.41,25.13,45.12,-1.12,-1.19,-2.68,-8.74
01022206,Lüneburger Straße,3060,6.62,1.46,13.17,25.9,-1.72,-1.2,0.67,-3.9
01022207,Hansaviertel,5477,5.72,1.53,9.51,25.56,-0.79,-0.38,-0.12,-0.92
01033101,Soldiner Straße,25947,13.25,4.18,31.79,68.88,-2.19,-1.18,0.46,0.28
01033102,Gesundbrunnen,11586,11.23,2.91,28.53,64.12,-2.07,-1.45,0.28,-1.46
01033201,Brunnenstraße,12885,12.13,3.6,32.84,63,-1.57,-0.82,-0.4,-2.51
01033202,Humboldthain Süd,9697,10.85,2.96,23.64,54.92,-1.3,-1.05,-0.67,-2.84
01033203,Humboldthain Nordwest,13891,12.69,3.59,31.8,69.17,-2.18,-1.36,-0.62,-1.29
01044101,Rehberge,19903,10.83,3.62,20.84,53.79,-1.07,-0.26,-0.41,-0.95
01044102,Schillerpark,15792,10.41,3.13,18.43,52.51,-1.8,-0.93,0.98,0.99
01044103,Westliche Müllerstraße,8076,10.29,3.16,19.03,52.02,-1.63,-0.67,-1.18,-1.72
01044201,Reinickendorfer Straße,23103,13.66,3.94,32.45,72.09,-1.42,-1.1,0.34,0.64
01044202,Sparrplatz,16636,10.22,3.37,20.64,57.92,-0.73,-0.14,-1.62,-2.56
01044203,Leopoldplatz,15985,12.36,3.59,27.87,66.23,-1.53,-1.18,0.61,0.15
02010101,Askanischer Platz,6106,12.13,4.06,26.88,59.57,-0.68,-0.79,-2.39,-3.06
02010102,Mehringplatz,13047,14.4,5.32,33.66,64.43,-0.17,-0.22,-1.33,-4.11
02010103,Moritzplatz,15589,16.69,6.13,36.77,72.12,-1.16,-0.64,-0.8,-1.38
02010104,Wassertorplatz,5145,13.4,4.73,35.69,70.52,-2.18,-1.1,-1.62,1.21
02020202,Rathaus Yorckstraße,5726,7.74,2.63,13.38,24.28,-0.49,-0.14,0.03,-4.19
02020203,Viktoriapark,10668,6.83,1.85,11.49,24.02,-0.94,-0.56,-0.5,-1.58
02020204,Urbanstraße,12195,6.93,2.09,12.45,25.63,-1.11,-0.75,-0.36,-0.57
02020205,Chamissokiez,14837,7.16,2.07,12.26,23.94,-0.58,-0.35,-0.4,-2.16
02020206,Graefekiez,18928,8.43,2.61,17.12,36.33,-1,-0.52,-0.72,-3.32
02030301,Oranienplatz,9216,12.07,4.17,29.1,57.7,-1.15,-0.36,-0.19,-0.03
02030302,Lausitzer Platz,13282,10.97,3.53,23.36,46.31,-0.87,-0.38,-0.61,-3.99
02030401,Reichenberger Straße,15222,9.2,2.82,18.37,39.81,-0.6,-0.29,-0.34,-2.65
02030402,Wrangelkiez,11273,8.99,2.88,17.54,38.11,-0.64,-0.28,-0.59,-1.79
02040501,Barnimkiez,5410,9.62,3.14,13.55,42.52,0.21,-0.24,-0.18,-4.68
02040502,Friedenstraße,7118,7.34,2.13,10.27,30.78,-0.3,-0.14,-0.08,1.27
02040503,Richard-Sorge-Viertel,10680,5.64,1.48,7.22,15.07,-0.46,-0.24,0.08,-0.35
02040701,Andreasviertel,12266,7.13,2.08,13.69,44.24,-0.69,-0.42,0.77,0.33
02040702,Weberwiese,10677,6.17,1.5,7.51,14.5,-0.55,-0.3,0.04,0.07
